,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss
0,C,Completed,,Self-employed,3083.333333,330.43,9425,0.17,
2,HR,Completed,,Not available,2083.333333,123.32,3001,0.06,
11,C,Completed,,Full-time,1666.666667,33.81,1000,0.27,
17,AA,Chargedoff,,Not available,5833.333333,334.54,10000,0.12,
21,D,Completed,,Full-time,3750.0,112.64,3000,0.09,
26,,Completed,3.0,Employed,3885.916667,124.76,4000,0.11,0.1225
27,,Completed,9.0,Full-time,6666.666667,0.0,4000,0.26,0.021
30,,Completed,9.0,Employed,3750.0,322.62,10000,0.11,0.038
33,,Completed,10.0,Employed,13083.333333,500.28,16000,0.05,0.013
39,B,Completed,,,9583.333333,57.64,10000,0.06,
42,HR,Chargedoff,,Not available,416.666667,62.86,1500,0.27,
46,C,Completed,,Full-time,3166.666667,138.66,4000,0.27,
57,,Chargedoff,5.0,Employed,9166.666667,80.07,2000,0.15,0.119
59,C,Completed,,Full-time,2750.0,244.47,7000,0.37,
62,D,Chargedoff,,Full-time,3891.666667,909.68,23500,0.59,
63,D,Completed,,Not available,7500.0,251.43,6000,0.25,
66,D,Completed,,Not employed,860.0,0.0,1000,0.2,
67,,Completed,3.0,Employed,4777.0,287.6,3000,0.28,0.13
68,E,Completed,,Full-time,2750.0,37.01,1000,0.45,
72,,Completed,6.0,Employed,8333.333333,181.28,4500,0.1,0.112
74,,Chargedoff,5.0,Employed,5314.25,108.87,2500,0.21,0.147
75,,Chargedoff,2.0,Employed,4750.0,166.73,4000,0.26,0.1375
76,E,Completed,,Not available,8583.333333,87.47,2200,0.13,
77,,Completed,8.0,Full-time,6466.666667,183.31,5600,0.18,0.0495
78,A,Chargedoff,,Full-time,0.0,171.13,4800,,
83,,Chargedoff,6.0,Employed,3250.0,168.89,4000,0.35,0.147
87,,Completed,3.0,Employed,3333.333333,169.78,4000,0.4,0.149
88,,Completed,3.0,Employed,6250.0,174.2,4000,0.23,0.165
90,D,Completed,,Not available,1833.3333329999998,181.89,5000,0.13,
91,,Completed,5.0,Employed,2250.0,152.83,3500,0.3,0.142
92,AA,Completed,,,10833.333333,71.6,2300,0.08,
93,,Chargedoff,7.0,Employed,5416.666667,205.01,7000,0.43,0.089
100,,Chargedoff,3.0,Not employed,0.0,172.76,4000,,0.1575
101,E,Chargedoff,,Full-time,7416.666667,107.4,2932,0.36,
102,,Completed,9.0,Full-time,15000.0,322.34,10000,0.16,0.021
103,,Chargedoff,2.0,Self-employed,5000.0,579.63,15000,,0.099
105,,Chargedoff,6.0,Employed,2666.666667,81.64,2000,,0.112
108,C,Completed,,Full-time,0.0,564.07,14000,,
109,,Completed,9.0,Full-time,5833.333333,66.75,2000,0.18,0.065
110,,Completed,5.0,Full-time,4666.666667,129.0,3000,0.29,0.183
112,,Chargedoff,3.0,Employed,2583.333333,173.71,4000,0.45,0.165
113,HR,Completed,,Self-employed,4166.666667,0.0,3000,0.04,
114,C,Completed,,Full-time,7083.333333,471.17,13400,0.16,
117,A,Completed,,Part-time,2500.0,12.97,2000,0.1,
121,B,Completed,,Full-time,6250.0,136.71,4000,0.31,
122,A,Completed,,Not available,1666.666667,30.88,1000,0.13,
123,AA,Completed,,Full-time,2293.333333,401.56,12000,0.19,
127,HR,Chargedoff,,Full-time,2946.666667,104.76,2551,0.17,
130,,Completed,6.0,Employed,4833.333333,277.61,10000,0.37,0.1025
131,A,Completed,,Part-time,833.333333,459.15,12500,,
132,B,Completed,,Full-time,4161.916667,287.29,8600,0.34,
136,C,Completed,,Full-time,3333.333333,108.52,3000,0.11,
140,,Completed,9.0,Full-time,4833.333333,161.55,5000,0.04,0.021
142,B,Chargedoff,,Full-time,4750.0,85.99,2500,0.11,
146,A,Completed,,,0.083333,127.66,4000,0.07,
147,,Completed,10.0,Full-time,4169.333333,68.05,2200,0.09,0.006
150,,Completed,,Full-time,5833.333333,204.59,6500,0.06,
155,,Completed,7.0,Employed,6333.333333,383.35,15000,0.17,0.042
156,B,Completed,,Full-time,8500.0,196.09,5500,0.15,
157,,Chargedoff,5.0,Employed,2500.0,173.71,4000,0.2,0.1625
159,,Completed,8.0,Full-time,3493.75,113.87,3000,0.05,0.08
162,AA,Completed,,,7500.0,93.73,3000,0.13,
164,HR,Completed,,Full-time,4958.333333,69.33,2000,0.1,
165,,Completed,8.0,Full-time,5250.0,283.91,9000,0.17,0.015
170,,Completed,5.0,Not employed,0.0,397.55,10000,,0.119
171,,Completed,9.0,Full-time,5586.5,207.3,6500,0.29,0.021
172,E,Chargedoff,,Not available,5833.333333,392.33,10000,0.28,
173,AA,Completed,,Full-time,3616.083333,483.66,15000,0.19,
178,HR,Completed,,Not available,3333.333333,86.31,2200,0.08,
186,,Chargedoff,5.0,Not employed,0.0,173.71,4000,,0.165
188,C,Completed,,Retired,1000.0,36.15,1000,0.58,
194,,Completed,5.0,Employed,4166.666667,153.08,3800,0.32,0.112
197,,Completed,8.0,Employed,2083.333333,105.78,3000,0.09,0.0595
198,,Completed,8.0,Employed,10000.0,0.0,3000,0.12,0.098
200,,Chargedoff,2.0,Employed,5500.0,174.2,4000,0.27,0.165
201,B,Completed,,Self-employed,6666.666667,693.31,20000,0.14,
210,C,Completed,,Full-time,5438.333333,280.82,8000,0.23,
218,,Chargedoff,4.0,Self-employed,4416.666667,349.55,10000,,0.0524
219,,Completed,9.0,Full-time,12500.0,203.56,5500,0.21,0.065
223,,Completed,6.0,Employed,3000.0,229.14,7000,0.21,0.0299
226,D,Completed,,Full-time,0.083333,32.27,1000,10.01,
230,,Completed,7.0,Employed,3666.666667,178.72,8000,0.21,0.0349
239,,Completed,8.0,Employed,6000.0,63.59,2000,0.14,0.02
240,,Completed,6.0,Employed,2291.666667,79.51,2000,0.17,0.119
241,E,Completed,,Full-time,2702.916667,47.66,1100,0.18,
242,,Completed,5.0,Employed,4504.166667,327.49,7500,0.39,0.142
245,,Completed,9.0,Employed,8333.333333,870.67,10000,0.11,0.033
247,E,Completed,,,2666.666667,27.61,1000,0.12,
248,,Completed,10.0,Full-time,4333.333333,55.82,1500,0.37,0.065
249,HR,Chargedoff,,Not available,2750.0,125.76,3001,0.22,
250,A,Completed,,,6416.666667,62.67,2000,0.1,
252,HR,Chargedoff,,Not available,2116.666667,88.0,2100,0.09,
253,,Completed,8.0,Employed,2583.333333,205.47,5000,0.2,0.108
255,,Completed,7.0,Full-time,2083.333333,117.37,3000,,0.1
258,D,Completed,,Full-time,1500.0,238.86,7000,0.39,
259,C,Completed,,Full-time,1583.333333,33.94,1000,0.26,
260,,Chargedoff,4.0,Employed,2666.666667,259.63,6000,0.18,0.147
261,A,Completed,,Full-time,4833.333333,190.66,6000,0.19,
262,,Chargedoff,6.0,Employed,3500.0,105.55,2500,0.08,0.147
264,C,Completed,,Full-time,3333.333333,72.51,2000,0.13,
265,,Completed,5.0,Employed,2750.0,173.71,4000,0.29,0.165
266,,Chargedoff,4.0,Employed,3750.0,173.71,4000,0.2,0.165
267,,Completed,4.0,Employed,5000.0,326.62,7500,0.31,0.147
269,,Completed,5.0,Full-time,3958.333333,113.02,2500,0.37,0.19
271,C,Completed,,Full-time,6166.666667,156.93,4000,0.25,
273,HR,Completed,,Full-time,3333.333333,192.77,4600,0.23,
275,E,Completed,,Not available,2333.333333,36.68,1000,0.1,
280,,Completed,1.0,Employed,6666.666667,173.71,4000,0.23,0.1675
283,,Completed,9.0,Employed,3750.0,153.58,4500,0.23,0.038
284,,Chargedoff,4.0,Employed,6000.0,255.67,7000,0.35,0.065
287,,Completed,6.0,Employed,10000.0,402.85,10000,0.29,0.112
292,,Completed,8.0,Employed,5000.0,166.3,4000,0.21,0.1375
293,C,Completed,,Full-time,1916.6666670000002,666.96,17000,0.73,
297,,Chargedoff,5.0,Full-time,2000.0,194.18,5025,0.42,0.099
298,C,Completed,,Not available,2416.666667,268.94,7500,0.31,
302,,Chargedoff,7.0,Full-time,4183.333333,101.06,2500,0.1,0.1
303,,Chargedoff,6.0,Self-employed,2500.0,163.28,4000,,0.108
305,,Completed,5.0,Employed,2916.666667,67.3,1500,0.2,0.142
308,D,Chargedoff,,Full-time,2166.666667,204.4,5500,0.49,
309,,Completed,9.0,Employed,5250.0,511.94,15000,0.18,0.038
310,D,Completed,,,3750.0,0.0,1800,0.16,
314,A,Completed,,Full-time,10000.0,836.34,25000,0.2,
319,,Completed,8.0,Employed,8750.0,308.2,7500,0.13,0.108
324,B,Chargedoff,,Full-time,1655.833333,119.57,3600,0.1,
325,B,Completed,,,5416.666667,218.23,6500,0.1,
326,E,Completed,,Full-time,1200.0,167.62,4000,0.35,
328,,Chargedoff,5.0,Employed,5475.0,173.71,4000,0.38,0.1625
330,B,Chargedoff,,Self-employed,3333.333333,136.61,4000,,
335,,Completed,3.0,Not employed,0.0,86.85,2000,,0.165
338,B,Completed,,Full-time,5488.166667,332.14,10000,0.15,
339,E,Completed,,Full-time,2500.0,209.53,5000,0.54,
341,HR,Chargedoff,,Full-time,3750.0,90.36,2000,0.13,
342,,Chargedoff,6.0,Employed,2414.5,80.57,2000,0.55,0.108
344,,Chargedoff,9.0,Full-time,3000.0,160.16,5000,0.23,0.015
345,AA,Completed,,Full-time,5200.0,172.31,5500,0.14,
346,B,Completed,,Full-time,4217.666667,17.04,2000,0.1,
348,C,Completed,,Full-time,2990.0,284.97,8500,0.2,
353,,Completed,7.0,Employed,15000.0,184.31,2000,0.16,0.107
354,,Completed,2.0,Self-employed,4166.666667,111.68,2500,,0.24
356,E,Completed,,,6666.666667,51.12,2000,0.04,
360,,Completed,6.0,Employed,4333.333333,285.12,3000,0.14,0.112
361,,Completed,3.0,Full-time,3500.0,188.55,4500,0.26,0.13
362,B,Completed,,Full-time,2363.333333,287.06,10000,0.37,
363,,Completed,5.0,Employed,3750.0,173.71,4000,0.1,0.165
366,E,Chargedoff,,Not available,6917.0,138.7,3500,0.24,
367,E,Completed,,Full-time,1583.333333,0.0,1545,0.49,
368,C,Completed,,Full-time,1083.333333,594.62,16000,1.65,
369,E,Chargedoff,,Full-time,1900.0,45.24,1000,0.34,
371,,Completed,8.0,Full-time,6166.666667,136.42,4000,0.18,0.05
372,D,Chargedoff,,Full-time,3333.333333,171.9,3800,,
375,D,Chargedoff,,Not available,2500.0,196.09,5500,0.11,
380,A,Completed,,Full-time,6833.333333,329.89,10000,0.27,
