,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss,diff_income_loan
0,AA,0,,Not available,5833.333333,334.54,10000,0.12,,-4166.666667
1,HR,0,,Not available,416.666667,62.86,1500,0.27,,-1083.333333
2,,0,5.0,Employed,9166.666667,80.07,2000,0.15,0.119,7166.6666669999995
3,D,0,,Full-time,3891.666667,909.68,23500,0.59,,-19608.333333
4,,0,5.0,Employed,5314.25,108.87,2500,0.21,0.147,2814.25
5,,0,2.0,Employed,4750.0,166.73,4000,0.26,0.1375,750.0
6,,0,6.0,Employed,3250.0,168.89,4000,0.35,0.147,-750.0
7,,0,7.0,Employed,5416.666667,205.01,7000,0.43,0.089,-1583.3333329999996
8,E,0,,Full-time,7416.666667,107.4,2932,0.36,,4484.666667
9,,0,2.0,Self-employed,5000.0,579.63,15000,,0.099,-10000.0
10,,0,6.0,Employed,2666.666667,81.64,2000,,0.112,666.666667
11,,0,3.0,Employed,2583.333333,173.71,4000,0.45,0.165,-1416.666667
12,HR,0,,Full-time,2946.666667,104.76,2551,0.17,,395.66666699999996
13,B,0,,Full-time,4750.0,85.99,2500,0.11,,2250.0
14,,0,5.0,Employed,2500.0,173.71,4000,0.2,0.1625,-1500.0
15,E,0,,Not available,5833.333333,392.33,10000,0.28,,-4166.666667
16,,0,2.0,Employed,5500.0,174.2,4000,0.27,0.165,1500.0
17,,0,4.0,Self-employed,4416.666667,349.55,10000,,0.0524,-5583.333333
18,HR,0,,Not available,2750.0,125.76,3001,0.22,,-251.0
19,HR,0,,Not available,2116.666667,88.0,2100,0.09,,16.66666699999996
20,,0,4.0,Employed,2666.666667,259.63,6000,0.18,0.147,-3333.333333
21,,0,6.0,Employed,3500.0,105.55,2500,0.08,0.147,1000.0
22,,0,4.0,Employed,3750.0,173.71,4000,0.2,0.165,-250.0
23,,0,4.0,Employed,6000.0,255.67,7000,0.35,0.065,-1000.0
24,,0,5.0,Full-time,2000.0,194.18,5025,0.42,0.099,-3025.0
25,,0,7.0,Full-time,4183.333333,101.06,2500,0.1,0.1,1683.3333329999996
26,,0,6.0,Self-employed,2500.0,163.28,4000,,0.108,-1500.0
27,D,0,,Full-time,2166.666667,204.4,5500,0.49,,-3333.333333
28,B,0,,Full-time,1655.833333,119.57,3600,0.1,,-1944.166667
29,,0,5.0,Employed,5475.0,173.71,4000,0.38,0.1625,1475.0
30,B,0,,Self-employed,3333.333333,136.61,4000,,,-666.666667
31,HR,0,,Full-time,3750.0,90.36,2000,0.13,,1750.0
32,,0,6.0,Employed,2414.5,80.57,2000,0.55,0.108,414.5
33,,0,9.0,Full-time,3000.0,160.16,5000,0.23,0.015,-2000.0
34,E,0,,Not available,6917.0,138.7,3500,0.24,,3417.0
35,E,0,,Full-time,1900.0,45.24,1000,0.34,,900.0
36,D,0,,Full-time,3333.333333,171.9,3800,,,-466.66666699999996
37,D,0,,Not available,2500.0,196.09,5500,0.11,,-3000.0
38,B,0,,Full-time,3541.666667,169.65,5000,0.07,,-1458.333333
39,,0,3.0,Full-time,4166.666667,128.65,4000,0.11,0.1375,166.66666700000042
40,E,0,,Full-time,6500.0,122.48,3000,0.16,,3500.0
41,,0,7.0,Full-time,8083.333333,350.66,8000,0.15,0.1,83.33333299999958
42,AA,0,,Full-time,10958.333333,869.33,25000,0.15,,-14041.666667
